support,itemsets
0.053003533568904596,frozenset({'andrew bird'})
0.0706713780918728,frozenset({'animal collective'})
0.05653710247349823,frozenset({'aphex twin'})
0.07950530035335689,frozenset({'arcade fire'})
0.05830388692579505,frozenset({'beastie boys'})
0.13427561837455831,frozenset({'beck'})
0.054770318021201414,frozenset({'beirut'})
0.06890459363957598,frozenset({'belle and sebastian'})
0.06007067137809187,frozenset({'ben folds'})
0.06713780918727916,frozenset({'björk'})
0.06007067137809187,frozenset({'blink-182'})
0.06007067137809187,frozenset({'boards of canada'})
0.08833922261484099,frozenset({'bob dylan'})
0.06713780918727916,frozenset({'brand new'})
0.07950530035335689,frozenset({'bright eyes'})
0.061837455830388695,frozenset({'britney spears'})
0.06890459363957598,frozenset({'broken social scene'})
0.053003533568904596,frozenset({'cake'})
0.05653710247349823,frozenset({'cat power'})
0.16784452296819788,frozenset({'coldplay'})
0.09010600706713781,frozenset({'daft punk'})
0.053003533568904596,frozenset({'dave matthews band'})
0.08657243816254417,frozenset({'david bowie'})
0.18197879858657243,frozenset({'death cab for cutie'})
0.05653710247349823,frozenset({'depeche mode'})
0.10070671378091872,frozenset({'elliott smith'})
0.0636042402826855,frozenset({'fall out boy'})
0.07420494699646643,frozenset({'feist'})
0.053003533568904596,frozenset({'foo fighters'})
0.054770318021201414,frozenset({'girl talk'})
0.06890459363957598,frozenset({'gorillaz'})
0.0989399293286219,frozenset({'green day'})
0.05653710247349823,frozenset({'imogen heap'})
0.07950530035335689,frozenset({'incubus'})
0.053003533568904596,frozenset({'interpol'})
0.07420494699646643,frozenset({'iron & wine'})
0.06537102473498234,frozenset({'jack johnson'})
0.06713780918727916,frozenset({'jay-z'})
0.06713780918727916,frozenset({'jimmy eat world'})
0.05123674911660778,frozenset({'john mayer'})
0.07597173144876325,frozenset({'johnny cash'})
0.11837455830388692,frozenset({'kanye west'})
0.10600706713780919,frozenset({'led zeppelin'})
0.0706713780918728,frozenset({'linkin park'})
0.07597173144876325,frozenset({'metallica'})
0.05653710247349823,frozenset({'michael jackson'})
0.05830388692579505,frozenset({'minus the bear'})
0.13074204946996468,frozenset({'modest mouse'})
0.10424028268551237,frozenset({'muse'})
0.053003533568904596,frozenset({'my chemical romance'})
0.054770318021201414,frozenset({'nas'})
0.05653710247349823,frozenset({'neutral milk hotel'})
0.05123674911660778,frozenset({'nick drake'})
0.09187279151943463,frozenset({'nine inch nails'})
0.08303886925795052,frozenset({'nirvana'})
0.054770318021201414,frozenset({'of montreal'})
0.05653710247349823,frozenset({'outkast'})
0.05653710247349823,frozenset({'paramore'})
0.10424028268551237,frozenset({'pink floyd'})
0.07243816254416961,frozenset({'pixies'})
0.0636042402826855,frozenset({'queen'})
0.2332155477031802,frozenset({'radiohead'})
0.05830388692579505,frozenset({'rage against the machine'})
0.05123674911660778,frozenset({'ratatat'})
0.10954063604240283,frozenset({'red hot chili peppers'})
0.0636042402826855,frozenset({'regina spektor'})
0.05830388692579505,frozenset({'rilo kiley'})
0.10070671378091872,frozenset({'sigur rós'})
0.053003533568904596,frozenset({'snow patrol'})
0.053003533568904596,frozenset({'sonic youth'})
0.0636042402826855,frozenset({'sublime'})
0.11307420494699646,frozenset({'sufjan stevens'})
0.05123674911660778,frozenset({'system of a down'})
0.05123674911660778,frozenset({'taking back sunday'})
0.06713780918727916,frozenset({'tegan and sara'})
0.26855123674911663,frozenset({'the beatles'})
0.06537102473498234,frozenset({'the clash'})
0.08833922261484099,frozenset({'the cure'})
0.09010600706713781,frozenset({'the decemberists'})
0.07420494699646643,frozenset({'the flaming lips'})
0.12014134275618374,frozenset({'the killers'})
0.07773851590106007,frozenset({'the postal service'})
0.05830388692579505,frozenset({'the rolling stones'})
0.1254416961130742,frozenset({'the shins'})
0.10070671378091872,frozenset({'the smashing pumpkins'})
0.08480565371024736,frozenset({'the smiths'})
0.07950530035335689,frozenset({'the white stripes'})
0.0706713780918728,frozenset({'tom waits'})
0.05123674911660778,frozenset({'tool'})
0.05123674911660778,frozenset({'tv on the radio'})
0.0812720848056537,"frozenset({'radiohead', 'beck'})"
0.07243816254416961,"frozenset({'beck', 'the beatles'})"
0.0636042402826855,"frozenset({'coldplay', 'death cab for cutie'})"
0.07773851590106007,"frozenset({'radiohead', 'coldplay'})"
0.05653710247349823,"frozenset({'coldplay', 'the beatles'})"
0.054770318021201414,"frozenset({'modest mouse', 'death cab for cutie'})"
0.07420494699646643,"frozenset({'radiohead', 'death cab for cutie'})"
0.07950530035335689,"frozenset({'death cab for cutie', 'the beatles'})"
0.061837455830388695,"frozenset({'death cab for cutie', 'the shins'})"
0.054770318021201414,"frozenset({'radiohead', 'elliott smith'})"
0.05653710247349823,"frozenset({'elliott smith', 'the beatles'})"
0.05123674911660778,"frozenset({'led zeppelin', 'the beatles'})"
0.06890459363957598,"frozenset({'radiohead', 'modest mouse'})"
0.053003533568904596,"frozenset({'modest mouse', 'the beatles'})"
0.06537102473498234,"frozenset({'radiohead', 'sigur rós'})"
0.10424028268551237,"frozenset({'radiohead', 'the beatles'})"
0.053003533568904596,"frozenset({'radiohead', 'the shins'})"
0.054770318021201414,"frozenset({'the beatles', 'the shins'})"
0.05653710247349823,"frozenset({'radiohead', 'beck', 'the beatles'})"
