id,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r,aprovado
1466,1,1,1,1,1,1,1,0,0,Sim
1489,1,0,1,1,1,1,1,0,0,Sim
1495,1,0,1,1,1,1,1,0,0,Sim
1500,1,0,1,0,0,0,1,0,0,Não
1512,0,1,1,1,1,1,1,0,0,Sim
1524,1,0,1,1,1,1,1,0,0,Sim
1540,0,1,1,1,1,1,1,0,0,Não
1548,0,0,0,0,0,0,0,0,0,Não
1550,1,0,1,1,1,1,1,0,0,Não
1578,1,0,1,1,1,1,1,0,0,Não
1582,1,0,1,1,1,1,1,0,0,Não
1589,1,0,1,1,1,1,1,0,0,Não
1590,1,0,1,1,1,1,1,0,0,Sim
1605,1,0,1,1,1,1,1,0,0,Sim
1610,0,1,1,1,1,0,1,1,1,Sim
1612,1,0,1,1,1,1,1,0,0,Não
1640,1,0,1,1,1,1,1,0,0,Sim
1644,1,0,1,1,1,1,1,0,0,Não
1649,0,1,1,1,1,1,0,1,1,Não
1672,0,0,1,1,1,0,0,0,0,Não
1689,0,0,0,0,0,0,0,0,0,Não
1698,1,0,1,1,1,1,1,0,0,Não
1728,0,0,1,1,1,1,0,0,0,Não
1735,1,0,1,1,1,1,1,1,0,Não
1747,0,1,1,1,1,0,0,1,0,Não
1768,1,0,1,1,1,1,1,0,0,Não
1776,1,0,1,1,1,1,0,0,0,Sim
1792,1,0,1,1,1,1,1,0,0,Sim
1798,0,0,0,0,0,0,0,0,0,Não
1806,1,0,1,1,1,1,1,0,0,Não
1812,1,0,1,1,1,1,1,0,0,Não
1813,1,0,0,0,0,0,0,0,0,Não
1816,0,0,1,1,1,1,1,0,0,Não
1825,1,0,1,1,1,1,1,0,0,Sim
1834,0,0,0,0,0,0,0,0,0,Não
1857,1,1,1,1,1,1,1,0,0,Sim
1866,1,0,1,1,1,0,1,0,0,Sim
1878,1,0,1,1,1,1,1,0,0,Sim
1885,1,0,1,1,1,1,1,0,0,Sim
1911,0,0,0,0,0,0,0,0,0,Não
